course_id,course_name,question_id,assessment_type,question_number,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,competency,topic,learning_objective
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q10,FINAL,10,Which of the following is NOT a separate institutional sector in the SNA classification?,The informal sector as a standalone institutional sector,Non-financial corporations,General government,Households,A,The SNA classifies units into five sectors; informal units belong to them according to ownership rather than forming a sixth sector.,Medium,Institutional Sectors,Institutional Sector Classification,Identify SNA institutional sectors.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q11,FINAL,11,A notable conceptual change introduced by SNA 2008 compared with SNA 1993 is:,Removing the general government sector from the accounts,Treating all household purchases exclusively as intermediate consumption,Abolishing the concept of gross domestic product,Capitalising research and development as fixed capital formation,D,"SNA 2008 reclassified R&D expenditure as investment, raising measured capital formation.",Advanced,National Accounts Concepts,SNA 2008 Changes,Recognise SNA 2008 conceptual changes.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q12,FINAL,12,The primary role of Supply and Use Tables (SUT) in national accounts compilation is to:,List the population of each State accurately,"Balance the supply and use of every product across industries, improving internal consistency of the accounts",Replace the household consumption schedule entirely,Provide only the export price of commodities,B,"SUTs confront product supply with product use, producing consistent industry and product estimates.",Medium,Supply-Use Tables,Supply-Use Framework,Explain the role of supply-use tables.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q13,FINAL,13,"For a balanced supply-use table, the relationship that must hold for each product is:",Total supply = imports only,Total use = gross saving only,Total supply = total use (intermediate use + final use + exports),Supply equals the value of fixed assets sold,C,Equality of total supply and total use for each product is the accounting identity the table must satisfy.,Advanced,Supply-Use Tables,Supply-Use Balancing,State the supply-use balancing identity.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q14,FINAL,14,"Under the production approach, the GVA of the agriculture sector is measured as:",Value of output at producers' prices minus intermediate consumption,Total area sown multiplied by the average land price,Total GST collections from agricultural trade,The number of cultivators multiplied by their income-tax rate,A,"GVA equals the value of output less the inputs consumed in producing it, measured at appropriate prices.",Medium,Production Approach,Sectoral GVA Estimation,Apply the production approach to a sector.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q15,FINAL,15,"To compile annual national accounts from scattered administrative and survey sources, the NSO typically:",Uses stock-market indices as the sole basis,Relies exclusively on foreign statistical agencies,Takes the population census as the final GDP figure,Reconciles multiple source datasets within an accounting framework using benchmark and extrapolation methods,D,"Source data are benchmarked, extrapolated and balanced within the SNA framework to compile consistent estimates.",Medium,Compilation Methods,Compilation Practices,Describe compilation practices.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q16,FINAL,16,Why does the national statistical office periodically rebase the national accounts to a new base year?,To ensure GDP is smaller in every subsequent release,To update reference prices and sectoral weights so the structure reflects the current economy,Because a base change is compulsory every single year,To make the exchange rate adjust automatically,B,"An outdated base structure misweights fast-growing sectors, so rebasing restores representativeness.",Advanced,Compilation Methods,Base Year Revision,Explain the rationale for base year revision.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q17,FINAL,17,"To convert the current-price GVA of a sector into constant (base-year) prices by single deflation, the compiler:",Multiplies current values by the consumer price index,Adds the foreign-exchange rate,Divides current values by an appropriate sectoral price index,Subtracts the population growth rate,C,Single deflation applies one appropriate price index to remove price change from a current-value series.,Medium,Current vs Constant Prices,Deflation Methods,Deflate values to constant prices.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q18,FINAL,18,Nominal GDP grows by 10% while real GDP grows by 6% during a year. The difference most likely reflects:,A price increase of about 4% during the year,A fall in the price level of about 4%,Population growth of 10% during the year,An increase in exports alone,A,"Nominal growth equals real growth plus the deflator, so the gap approximates the price increase.",Medium,Current vs Constant Prices,Real vs Nominal Growth,Interpret nominal and real growth.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q19,FINAL,19,Which statement describes double deflation when estimating industry-level GVA in constant prices?,Deflating GDP twice using the same deflator,Using two different base years at once,Adding two price indices together,Deflating output and intermediate consumption separately with sector-appropriate price indices before subtraction,D,"Double deflation removes price change from output and inputs separately, tracking real value added.",Advanced,Compilation Methods,Double Deflation,Explain double deflation.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q20,FINAL,20,Gross fixed capital formation (GFCF) in the national accounts refers to:,Household purchase of consumer goods and services,"Additions to fixed assets such as dwellings, buildings, machinery and equipment",Payment of wages and salaries by the government,Purchase of stationary inputs by firms,B,GFCF captures net additions to reproducible fixed assets that are used repeatedly in production.,Easy,Expenditure Approach,Gross Fixed Capital Formation,Define gross fixed capital formation.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q21,FINAL,21,Which of the following makes up final consumption expenditure in the accounts?,Private investment plus exports,Intermediate consumption of enterprises,Household final consumption expenditure plus government final consumption expenditure,Subsidies and transfers only,C,Final consumption combines the spending of households and general government on goods and services.,Easy,Expenditure Approach,Final Consumption,Identify final consumption components.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q22,FINAL,22,"In the expenditure approach, exports of goods and services enter the identity because:","They add value produced domestically but consumed abroad, while imports are subtracted to remove foreign output from domestic spending",They represent the government's fiscal deficit,They are counted only under the income approach,They replace gross capital formation entirely,A,Net exports (exports minus imports) convert domestic expenditure into GDP by adjusting for foreign trade.,Easy,Expenditure Approach,Net Exports,Explain the role of net exports.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q23,FINAL,23,How does the SNA treat the output of owner-occupied dwellings?,It excludes housing services from GDP entirely,It records only the resale price of houses when sold,It records only repair expenses as output,It imputes the rental value of the dwellings as production of housing services,D,Imputed rents bring housing services of owners and renters onto a comparable footing in the accounts.,Advanced,Institutional Sectors,Owner-Occupied Dwellings,Explain imputation for owner-occupied housing.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q24,FINAL,24,"The net income of small unincorporated enterprises operated by households (e.g., street vendors) is recorded in the accounts as:",Corporate operating surplus,Mixed income,Current transfer income,Capital gains of the household,B,Mixed income combines the labour and capital returns of own-account entrepreneurs in one category.,Easy,Income Approach,Mixed Income,Identify mixed income.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q25,FINAL,25,Gross National Income (GNI) differs from GDP because GNI:,Excludes exports of goods entirely,Equals GDP less total government spending,Adds net primary income received from the rest of the world and subtracts net primary income paid abroad,Is measured only in foreign currency,C,GNI is GDP adjusted for net primary income flows with the rest of the world.,Advanced,National Accounts Concepts,GNI vs GDP,Distinguish GDP and GNI.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q26,FINAL,26,"In the SNA, product taxes net of product subsidies explain the difference between:",GVA at basic prices and GDP at market prices,GDP and GNI,Gross and net capital formation,Consumer and producer price indices,A,Adding net product taxes to basic-price GVA converts it into market-price GDP.,Medium,National Accounts Concepts,Basic-to-Market Price Adjustment,Apply basic-to-market price adjustment.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q27,FINAL,27,A media note claims GDP growth jumped from 9% to 12% just as the accounts were rebased to a new base year. The careful analyst will:,Report the 12% as final without verification,Assume the jump is entirely fabricated,Check whether the growth comparison is consistent across the old and new base-year series before reporting the change,Ignore the base year because it never influences growth,C,"Changing base-year price structure can alter measured growth, so consistency across series must be checked.",Medium,Compilation Methods,Interpretation Across Base Years,Interpret growth across base-year changes.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q28,FINAL,28,"In the SNA, the identity connecting these concepts at the whole-economy level is:",Gross saving = gross capital formation + net lending/borrowing to the rest of the world,Gross saving = government revenue alone,Gross capital formation = exports + imports,Gross saving = final consumption expenditure,A,"Saving finances investment plus the net external balance, an identity that reconciles these flows.",Advanced,National Accounts Concepts,Saving-Investment Identity,State the saving-investment identity.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q29,FINAL,29,"For estimating the GVA of the private corporate sector in India, the most important source data are:",Household consumption expenditure alone,Agricultural crop statistics alone,Foreign trade statistics only,Annual accounts/financial statements of companies balanced with production- and trade-based indicators,D,"Company annual accounts underpin corporate GVA, supplemented by surveys and other administrative sources.",Medium,Compilation Methods,Data Sources,Identify data sources for corporate GVA.
C03,National Accounts Compilation & SNA 2008 Framework,C03_Q30,FINAL,30,"In a year, services GVA grows 7%, agriculture 2%, and overall GDP growth is 6%. The correct reading is:",Agriculture grew faster than services,"Services contributed substantially to growth, since the aggregate reflects the sectoral weights of the economy",GDP equals services GVA alone,The figures are inconsistent and must be rejected,B,"Total growth is a weighted combination of sectoral growths, so the large services share dominates the aggregate.",Advanced,National Accounts Concepts,Sectoral Growth Interpretation,Interpret sectoral contributions to growth.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q01,INITIAL,1,The Sustainable Development Goals (SDGs) were adopted by member States under which agenda?,The Paris Climate Accord only,The Millennium Declaration of 2000,The Bretton Woods Agreement,The 2030 Agenda for Sustainable Development,D,The 17 SDGs with 169 targets were adopted in 2015 within the 2030 Agenda for Sustainable Development.,Easy,SDG Framework,SDG Origins,Describe the origin of the SDGs.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q02,INITIAL,2,The National Indicator Framework (NIF) for SDGs in India serves mainly to:,Set annual interest rates for government bonds,Provide a set of national indicators to track data for monitoring the SDGs,Replace the Census of India,Define India's import tariffs,B,The NIF lists the indicators through which India monitors SDG progress at national and State levels.,Easy,SDG Framework,National Indicator Framework,Define the National Indicator Framework.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q03,INITIAL,3,Arrange the SDG architecture from broadest to most specific.,Indicators are broad; they contain goals; targets measure them,All three are identical in coverage and scope,Goals are broad aspirations; each goal has measurable targets; indicators measure progress against targets,"Targets contain goals, which contain indicators",C,"The framework nests 17 goals, 169 targets and indicators that quantify progress against the targets.",Medium,SDG Framework,Goal-Target-Indicator Hierarchy,Explain the SDG goal-target-indicator hierarchy.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q04,INITIAL,4,"In SDG monitoring, a 'baseline value' is:","The value of an indicator at the starting reference year, from which progress towards the target is measured",The highest value the indicator has ever reached,The target the country must achieve by 2030,The value reported by other countries for comparison,A,The baseline anchors the starting point of an indicator so change up to the target year can be measured.,Medium,Monitoring & Evaluation,Baseline Values,Define a baseline value.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q05,INITIAL,5,"Why is disaggregation (e.g., by sex, rural/urban, age group) essential to SDG monitoring?",It reduces the number of indicators to be monitored,It is needed only for financial reporting,It removes the need for a baseline value,Averages can hide unequal progress; disaggregation reveals which groups are being left behind,D,The leave-no-one-behind principle makes disaggregation crucial for assessing who is being left behind.,Advanced,Monitoring & Evaluation,Disaggregation,Explain the importance of disaggregated data.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q06,FINAL,6,How many SDGs and associated global targets constitute the 2030 Agenda?,8 goals and 21 targets,17 goals and 169 targets,19 goals and 300 targets,10 goals and 100 targets,B,The framework comprises 17 goals and 169 targets measured through a set of global indicators.,Easy,SDG Framework,Number of SDGs,State the number of goals and targets.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q07,FINAL,7,What distinguishes an SDG target from an SDG indicator?,A target is measured; an indicator is a policy goal,They are interchangeable terms,"A target is a desired outcome to be achieved, while an indicator is a measure used to track progress towards it",An indicator states the desired outcome; a target quantifies price changes,C,Targets set the ambition and indicators operationalise the measurement of progress toward it.,Easy,SDG Framework,Targets vs Indicators,Differentiate targets and indicators.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q08,FINAL,8,"Why is indicator metadata (definitions, sources and methodology) essential for an SDG dashboard?","It lets users interpret values consistently, trace sources and compare series across time and states",It replaces the need for the underlying data,It is only required for foreign aid reporting,It shortens the official data collection period,A,"Metadata document how indicators are defined and produced, enabling correct interpretation and comparison.",Medium,Indicator Management,Metadata,Explain the role of SDG metadata.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q09,FINAL,9,Official SDG indicators in India are primarily reported through data produced by:,Commercial rating agencies alone,Social-media sentiment analysis,Independent private surveys without official validation,"National statistical agencies and line ministries using censuses, surveys and administrative records",D,"The official statistical system supplies censuses, surveys and administrative data for national SDG indicators.",Easy,Data Flows & Sources,Official Data Sources,Identify official SDG data sources.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q10,FINAL,10,Which best reflects the purpose of monitoring an SDG indicator over time?,Producing a single snapshot with no time dimension,Tracking changes to assess whether progress is on pace with the target trajectory,Deleting historical series after each update,Guaranteeing that every indicator improves automatically,B,Monitoring is repeated measurement over time that judges the pace toward the target trajectory.,Medium,Monitoring & Evaluation,Time-Series Monitoring,Describe the purpose of time-series monitoring.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q11,FINAL,11,"An indicator must move from a baseline of 20% to a target of 0% over 10 years. If the value after 5 years is 12%, the share of the required reduction already achieved is:",50%,20%,40%,60%,C,"Required reduction is 20 points; achieved is 8 points, so (8/20) x 100 = 40% of the required movement.",Advanced,Monitoring & Evaluation,Progress Computation,Compute progress towards an SDG target.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q12,FINAL,12,An SDG dashboard shows an indicator's latest value lying ABOVE its 2030 target line. What is the most correct inference?,"The target has been achieved, provided the series, metadata and direction of the indicator are correctly defined",The dashboard is certainly faulty,The government must raise the target retroactively,Monitoring should stop because the task is over,A,Crossing the target line signals achievement if the indicator's direction and definitions are correct.,Medium,Monitoring & Evaluation,Target Interpretation,Interpret indicator values against target lines.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q13,FINAL,13,State-level SDG reporting is especially important in India because:,Only States are responsible for international reporting,National averages are disallowed by the UN,State estimates require no survey data,"Targets must be reached for every State/UT, not only on the national average",D,Sub-national reporting is essential because national averages can mask State disparities.,Medium,State-level Reporting,SDG Localisation,Explain the need for state-level reporting.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q14,FINAL,14,A required SDG indicator has no reliable official data for the reporting year. The best practice response is:,Withhold all SDG reporting until the exact figure exists,"Report the closest official proxy or previous reliable value with clear metadata, and plan data improvements",Invent an estimate from internet sources,Remove the indicator from the national list permanently,B,Gap management uses documented proxies with clear metadata while data systems are strengthened.,Advanced,Data Gaps & Management,Data Gap Handling,Manage data gaps in SDG reporting.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q15,FINAL,15,Comparing an administrative source with a household survey for the same indicator is most useful for:,Discarding both sources permanently,Increasing questionnaire length,Cross-validating the indicator and understanding deviations between data sources,Skipping the metadata process,C,Triangulating sources reveals measurement differences and supports quality assessment.,Medium,Data Flows & Sources,Data Source Comparison,Compare administrative and survey data.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q16,FINAL,16,"When an official measure for access to clean cooking fuel is unavailable, a defensible statistical practice is to:",Use a well-defined proxy reported by a major official survey and note the difference in metadata,Drop the Goal entirely from national monitoring,Use an export price as the official figure,Declare the target infeasible without measurement,A,Documented proxies inform policy while the official indicator is developed.,Advanced,Indicator Management,Proxy Indicators,Select suitable proxy indicators.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q17,FINAL,17,"In India's SDG monitoring architecture, coordination of the National Indicator Framework rests primarily with:",The Reserve Bank of India alone,State election commissions,The Income Tax department,MoSPI in coordination with NITI Aayog and line ministries,D,"MoSPI coordinates official statistics for the NIF, while NITI Aayog drives State-level SDG performance and ranking.",Medium,Data Flows & Sources,Institutional Arrangements,Describe institutional arrangements for SDG monitoring.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q18,FINAL,18,An SDG data portal/dashboard mainly serves to:,Replace the national statistical offices,Make official indicator data accessible and interpretable to policymakers and the public,Store data that is never published,Serve only foreign researchers,B,"Dashboards support transparent dissemination, the accessibility dimension of SDG data.",Medium,Dissemination,SDG Dashboards,Explain the role of SDG dissemination portals.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q19,FINAL,19,A State SDG composite index combines many indicators. The key caution in interpreting it is:,It removes all need for disaggregated data,It is the only valid measure of State performance,It can hide opposite trends in underlying indicators and depends on the weights and indicator choices,Weight choices never affect the index,C,Composites summarise performance but can mask component differences and are sensitive to weight choices.,Medium,Monitoring & Evaluation,Composite Index Caution,Interpret composite SDG indices cautiously.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q20,FINAL,20,An unemployment-rate indicator rose in the latest year after falling for three years. The correct monitoring response is to:,"Examine the underlying data, metadata and possible measurement or period changes before drawing conclusions",Immediately declare the SDG target failed,Assume the previous declines were wrong,Ignore the rise because trends never reverse,A,Inspecting components and definitions avoids misreading genuine reversals or data revisions.,Medium,Monitoring & Evaluation,Trend Interpretation,Interpret reversals in indicator trends.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q21,FINAL,21,"Two States show similar SDG index improvement, but one started from a much lower baseline. As a monitoring analyst you should:",Rank them solely by current index level,Treat any improvement as equal regardless of baseline,Ban comparisons between States entirely,"Compare pace and relative improvement, since absolute level and improvement measure different things",D,Progress assessment needs both level and pace; low-baseline States can improve faster in relative terms.,Advanced,Monitoring & Evaluation,Progress Comparison,Compare progress across baseline differences.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q22,FINAL,22,Localisation of SDGs down to the district level aims to:,Create contradictory goals with national plans,Adapt national targets to local contexts and enable district-level planning and data,Replace the 2030 target year with new dates,Reduce the number of Goals per district,B,Localisation tailors the SDG framework to sub-national priorities and data availability.,Medium,State-level Reporting,SDG Localisation,Explain SDG localisation.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q23,FINAL,23,A country's Voluntary National Review (VNR) at the UN High-Level Political Forum is chiefly intended to:,Impose sanctions on States failing targets,Set legally binding emissions quotas,Present national SDG progress and implementation experience to the global community,Replace national statistical programmes,C,VNRs are voluntary stocktaking reports shared during the High-Level Political Forum.,Advanced,Dissemination,Voluntary National Review,Describe the purpose of the VNR.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q24,FINAL,24,Which visualisation practice best supports decision-makers scanning an SDG dashboard?,Traffic-light colours mapping indicator status (on track / lagging) with clear baselines and targets,Crowding every indicator and target onto a single dense table,Showing only raw totals without any reference lines,Using colours that are meaningful only to the designer,A,Status colours and target lines let policymakers spot lagging indicators at a glance.,Medium,Dissemination,Dashboard Visualisation,Design decision-friendly SDG visuals.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q25,FINAL,25,"An official indicator shows stagnation for three consecutive years. Before labelling it 'off track', the analyst must check:",The religious composition of the respondent groups,Whether the indicator is popular on social media,"Data quality, periodicity, definitions and revisions, and whether the plateau reflects genuine stalling",The movement of the exchange rate,C,"Plateaus may reflect genuine stalling or measurement issues, so metadata scrutiny comes first.",Advanced,Data Quality,Stagnation Analysis,Investigate stagnation in indicator series.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q26,FINAL,26,SDG indicators measure progress relative to targets set for the year:,2030,2025,2045,2100,A,The SDG targets are set to be met by 2030 under the 2030 Agenda.,Easy,SDG Framework,Target Year,Identify the SDG target year.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q27,FINAL,27,The point of comparing an indicator's latest value with its baseline value described in the same metadata is to:,Ignore data from every other year,Compute only the median value,Replace the target with a new one,Measure cumulative change and the remaining gap to target since the starting reference year,D,Baseline-to-latest comparisons chart the distance already travelled and the gap that remains.,Easy,Monitoring & Evaluation,Baseline Comparison,Use baselines to measure change.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q28,FINAL,28,A State-level indicator from a household survey has a wide confidence interval. The correct reporting practice is:,Publish the point estimate as exact,Show the estimate with its uncertainty and avoid over-interpreting small year-to-year differences,Scale the number until it looks stable,Drop disaggregation permanently,B,"Sampling error makes small differences statistically indistinguishable, so uncertainty must be reported.",Advanced,Data Quality,Uncertainty Reporting,Report survey-based indicators with uncertainty.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q29,FINAL,29,"In the national SDG data flow, State DES/Statistical Bureaus typically:",Are bypassed in all data compilation,Only publish international trade data,Compile and validate State-level data provided to the national system for the NIF,Compile no official statistics,C,State statistical systems compile and validate much of the sub-national data feeding the NIF.,Medium,Data Flows & Sources,Data Flows,Describe data flows in SDG monitoring.
C04,Monitoring Sustainable Development Goals (SDGs),C04_Q30,FINAL,30,Comparing India's SDG progress with another country's requires the analyst to:,"Verify comparable indicator definitions, sources and target calibrations before drawing conclusions",Assume identical methodologies by default,Rank entire SDG lists purely by name,Report all differences as data errors,A,Cross-country comparisons are valid only when indicators are measured on comparable definitions.,Advanced,Monitoring & Evaluation,Cross-country Comparison,Assess the validity of cross-country SDG comparisons.
C05,National Quality Assurance Framework (NQAF),C05_Q01,INITIAL,1,The National Quality Assurance Framework (NQAF) of the official statistical system is best described as:,A software package for building statistical databases,A sampling scheme used in the Census,A framework that defines quality dimensions and expects statistical processes and outputs to comply with prescribed standards,A law governing election statistics only,C,The NQAF sets the quality dimensions and assurance practices that statistical processes and outputs must follow.,Easy,Statistical Quality,What is NQAF,Define the NQAF.
C05,National Quality Assurance Framework (NQAF),C05_Q02,INITIAL,2,"In official statistics, 'data quality' refers to:","The fitness of statistics for users' purposes, reflected in attributes such as relevance, accuracy, timeliness and coherence",How quickly data can be typed into a spreadsheet,The brand of software used to compile data,The physical size of the dataset files,A,"Quality is multidimensional, covering relevance, accuracy, timeliness, coherence, accessibility and clarity.",Easy,Statistical Quality,Data Quality,Define data quality.
C05,National Quality Assurance Framework (NQAF),C05_Q03,INITIAL,3,Why does a national statistical office maintain an explicit quality assurance framework?,To speed up data entry in all ministries,To reduce the number of official statistics published,To rank ministries by budget size,"To produce statistics that are credible, consistent and comparable, and to build public trust",D,"Systematic quality assurance makes statistics reliable and trustworthy, protecting institutional credibility.",Medium,Statistical Quality,Purpose of Quality Assurance,Justify the need for quality assurance.
C05,National Quality Assurance Framework (NQAF),C05_Q04,INITIAL,4,Statistical metadata is best described as:,The raw microdata files themselves,"Information documenting how statistics were defined, collected, processed and used",The software code used for printing reports,A summary of user complaints,B,"Metadata document the definitions and processes behind statistics, enabling correct interpretation.",Medium,Metadata,Metadata Concepts,Define statistical metadata.
C05,National Quality Assurance Framework (NQAF),C05_Q05,INITIAL,5,A preliminary CPI release is published rapidly but revised later. This illustrates:,A guaranteed error that invalidates the CPI,The irrelevance of quality assurance,"A trade-off between timeliness and accuracy, which should be managed transparently through a revision policy",A breach of statistical law,C,"Rapid preliminary estimates balance speed with accuracy, and a transparent revision policy maintains trust.",Advanced,Statistical Quality,Timeliness-Accuracy Trade-off,Describe the timeliness-accuracy trade-off.
C05,National Quality Assurance Framework (NQAF),C05_Q06,FINAL,6,Which set lists commonly recognised statistical quality dimensions under quality frameworks such as NQAF?,"Relevance, accuracy, timeliness, coherence, comparability, accessibility and clarity","Speed, colour, size, weight, price and popularity","Novelty, beauty, simplicity, brevity and tone","Profit, revenue, cost, tax and interest",A,"These dimensions underpin most official statistics quality frameworks, including the NQAF.",Easy,Statistical Quality,Quality Dimensions,List NQAF quality dimensions.
C05,National Quality Assurance Framework (NQAF),C05_Q07,FINAL,7,Statistical output is 'relevant' when:,Its file size is as small as possible,It is published only in English,It is identical to the previous release,It meets the current and potential needs of users for its intended purpose,D,Relevance is about how well the statistics serve the needs of their users.,Easy,Statistical Quality,Relevance,Define relevance.
C05,National Quality Assurance Framework (NQAF),C05_Q08,FINAL,8,"In the NQAF, 'accuracy' refers to:",How precisely the Excel formulas are written,"How close the estimates are to the true, unknown population values, covering both sampling and non-sampling error",How neatly the tables are formatted,How quickly the results are released,B,"Accuracy captures closeness to the true value, covering both bias and variance.",Medium,Statistical Quality,Accuracy,Define accuracy.
C05,National Quality Assurance Framework (NQAF),C05_Q09,FINAL,9,How do 'timeliness' and 'punctuality' differ in quality assessment?,They are exactly the same concept,Punctuality concerns data from other countries,Timeliness is the gap between the reference period and data release; punctuality is whether the release meets its announced schedule,Timeliness refers only to the Census,C,Timeliness concerns the lag after the reference period; punctuality concerns complying with the published calendar.,Medium,Statistical Quality,Timeliness vs Punctuality,Differentiate timeliness and punctuality.
C05,National Quality Assurance Framework (NQAF),C05_Q10,FINAL,10,Statistics from different sources or periods are 'coherent' when:,They can be combined or compared without serious logical or numerical inconsistencies across surveys and themes,They are produced by the same single person,They come from a single month of the year,They use no metadata at all,A,Coherence means related estimates agree and can be reconciled across sources and domains.,Medium,Statistical Quality,Coherence,Define coherence.
C05,National Quality Assurance Framework (NQAF),C05_Q11,FINAL,11,Comparability of statistics over time is achieved principally by:,Changing definitions in every revision for novelty,Using different reference periods each year,Removing metadata from publications,"Maintaining consistent concepts, definitions, classifications and methodology across the periods compared",D,Stable definitions and methods across time make series interpretable and comparable.,Medium,Statistical Quality,Comparability,Explain comparability.
C05,National Quality Assurance Framework (NQAF),C05_Q12,FINAL,12,A statistical output is 'accessible' when:,Only the compiling team can open the files,Users can obtain the statistics easily through clear publications or portals in formats and language appropriate to them,"Data are stored in a proprietary, undocumented format",The spreadsheet is protected by passwords,B,"Accessibility includes availability, format and user assistance while respecting confidentiality.",Easy,Statistical Quality,Accessibility,Define accessibility.
C05,National Quality Assurance Framework (NQAF),C05_Q13,FINAL,13,Metadata describing the definitions and classifications used in a survey is an example of:,A data-entry error report,A sample design plan left unpublished,Reference documentation that explains the concepts and methodology behind the statistics,The physical questionnaire paper stock,C,Reference metadata explain concepts and methodology so that users interpret figures correctly.,Medium,Metadata,Reference Metadata,Identify metadata documentation.
C05,National Quality Assurance Framework (NQAF),C05_Q14,FINAL,14,Which example is a statistical quality indicator an office can track operationally?,"Response rate, magnitude of revisions and coverage rate of the frame",Number of employees on leave,Colour of the annual report cover,Length of the minister's speech,A,"Operational indicators such as response, coverage and revision rates signal process quality.",Medium,Statistical Quality,Quality Indicators,Select operational quality indicators.
C05,National Quality Assurance Framework (NQAF),C05_Q15,FINAL,15,"GDP estimates are revised between the first, second and final releases. Under a sound quality regime this is:",A sign that the office is incompetent,A reason to suppress all later releases,A failure of statutory audit,Expected and transparent; revisions should be documented so users know their magnitude and causes,D,Routine revisions incorporate fuller source data and must be communicated to maintain trust.,Advanced,Statistical Process,Estimate Revisions,Handle estimate revisions transparently.
C05,National Quality Assurance Framework (NQAF),C05_Q16,FINAL,16,A process-oriented quality assurance approach emphasises:,Inspecting only the very last printed page,"Building quality into design, collection, processing and dissemination rather than only checking final tables",Outsourcing all editing to external consultants,Publishing without any checks,B,Process QA embeds checks throughout the statistical production pipeline.,Medium,Statistical Process,Process vs Output QA,Explain process-based quality assurance.
C05,National Quality Assurance Framework (NQAF),C05_Q17,FINAL,17,Fieldwork is compressed to hasten a survey release. Which quality risk is most immediate?,Higher accuracy from faster processing,Unchanged quality in every case,"Lower accuracy from rushed data collection, enumeration errors and higher non-response",Improved comparability automatically,C,Squeezing fieldwork raises measurement and non-response risks that erode accuracy.,Advanced,Statistical Process,Risk from Shortened Timelines,Assess risks from shortened timelines.
C05,National Quality Assurance Framework (NQAF),C05_Q18,FINAL,18,"Up-to-date process documentation (questionnaires, manuals, editing rules) chiefly supports:","Reproducibility, training, error diagnosis and transparency of the statistical process",Hiding methodology from users,Increasing the price of the questionnaire,Avoiding any audit review,A,"Documentation underpins transparency, audits, training and quality improvement.",Medium,Statistical Process,Process Documentation,Explain the role of process documentation.
C05,National Quality Assurance Framework (NQAF),C05_Q19,FINAL,19,"A series switches from one data source to another. To preserve comparability, the office should:",Issue the new values as a direct continuation automatically,Stop publishing the series forever,Ignore the previous series entirely,Overlap the sources or apply a linking adjustment and document the break in metadata,D,Overlaps or linking adjustments reconcile the old and new series and flag the structural break.,Advanced,Statistical Process,Series Breaks and Linking,Manage breaks in statistical series.
C05,National Quality Assurance Framework (NQAF),C05_Q20,FINAL,20,Which check best supports coherence across statistical products?,Renaming variables inconsistently each quarter,"Reconciling aggregate estimates against related totals (e.g., GDP components summing to GDP)",Publishing sub-totals that disagree with totals,Removing all stock and flow distinctions,B,Internal reconciliation of related aggregates exposes incoherence before release.,Medium,Statistical Quality,Coherence Checks,Verify coherence across products.
